Bought Condition,Colour,Current Condition,Drivetrain,Engine Size,Horse Power,Make,Mileage,Model,Number of Cylinders,Registered city,Seats,Selling Condition,Trim,Year of manufacture,detail_url,State,City,name,price
Imported,Black,Local Used,,3300,,Nissan,183724,Xterra,,,,Registered,,2002,/jEY4wdZtbQBgaGvCy1QWqlWio4Q9ULY?lid=Y6Wnu8OUg4LEMigd,Rivers State, Port-Harcourt,Nissan Xterra 2002 Black,"5,250,000"
Imported,White,Local Used,,3500,,Lexus,200440,RX 350,,Lagos,,Registered,,2008,/jlCs49Q2AxBS4Hb0db4AWDyV6WqZoK?lid=Y6Wnu8OUg4LEMigd,Ondo State, Akure,Lexus RX 350 2008 White,"7,350,000"
Brand new,Black,Local Used,,,,Toyota,105625,Corolla,,Lagos,,Registered,,2012,/jEY4wdZZCLJDlR6RomE1IeNdIbq60If?lid=Y6Wnu8OUg4LEMigd,Lagos State, Yaba,Toyota Corolla 2012 Black,"6,357,750"
Registered,Gray,Local Used,,2400,,Honda,282732,CR-V,,,,Registered,,2011,/jEY4wdZrOia7kDT5VFPThfndpEBuGGs?lid=Y6Wnu8OUg4LEMigd,Abuja (FCT), Garki 2,Honda CR-V 2011 Gray,"8,400,000"
Imported,Blue,Foreign Used,,2000,,Dodge,176841,Caliber,,,,Imported,,2010,/jEY4wdZU3M17IbCreyk4VyvTMu00MVt?lid=Y6Wnu8OUg4LEMigd,Lagos State, Abule Egba,Dodge Caliber 2010 Blue,"7,140,000"
Imported,Beige,Foreign Used,,2400,,Toyota,247816,Camry,,,,Imported,,2009,/jEY4wdZbR51Wsoi30jWUNyQf8jUsL5y?lid=Y6Wnu8OUg4LEMigd,Lagos State, Isolo,Toyota Camry 2009 Beige,"9,450,000"
Imported,Black,Foreign Used,All Wheel,3400,,Lexus,14020,LX,6,,,Imported,LX 600,2025,/jEY4wdZL0cdnPOIKQkpc6KYq5NdmTCb?lid=Y6Wnu8OUg4LEMigd,Lagos State, Magodo,Lexus LX LX 600 2025 Black,"357,000,000"
Imported,Black,Foreign Used,,3500,,Honda,101239,Pilot,,,,Imported,,2011,/jlCs49QtOoKgiLxOgdy3Yml57Q3JLP?lid=Y6Wnu8OUg4LEMigd,Abuja (FCT), Kubwa,Honda Pilot 2011 Black,"12,089,700"
Imported,Black,Local Used,,3500,,Toyota,282326,Camry,,Lagos,,Registered,,2011,/jEY4wdZxIt4dCPk8IMFwr7uaeW5nfB5?lid=Y6Wnu8OUg4LEMigd,Lagos State, Abule Egba,Toyota Camry 2011 Black,"6,552,000"
Registered,Silver,Local Used,Front,3500,,Lexus,178498,ES,6,Abia,5,Registered,350,2007,/jEY4wdZLq8dnYzojkuSzdUsuUOm4gAb?lid=Y6Wnu8OUg4LEMigd,Abia State, Aba North,Lexus ES 350 2007 Silver,"9,360,000"
Registered,Silver,Local Used,,3300,,Lexus,489160,ES,,,,Registered,,2006,/jEY4wdZbPxxkH0U3KXeq55IqAGKH8jp?lid=Y6Wnu8OUg4LEMigd,Rivers State, Port-Harcourt,Lexus ES 2006 Silver,"6,750,000"
Registered,Black,Local Used,,3500,,Toyota,314217,Camry,,Lagos,,Registered,,2007,/jEY4wdZgbHbrxx7l0g591vXKW5lQ4c4?lid=Y6Wnu8OUg4LEMigd,Lagos State, Alimosho,Toyota Camry 2007 Black,"6,510,000"
Imported,Black,Foreign Used,,3500,,Lexus,68905,RX 350,,,,Imported,,2021,/jEY4wdZgQMIon1e1TNJAmeyJgDP2es7?lid=dh_lC6ACv9u8bCaL,Oyo State, Ibadan,Lexus RX 350 2021 Black,"57,750,000"
Registered,Silver,Local Used,,3300,,Lexus,489160,ES,,,,Registered,,2006,/jEY4wdZbPxxkH0U3KXeq55IqAGKH8jp?lid=dh_lC6ACv9u8bCaL,Rivers State, Port-Harcourt,Lexus ES 2006 Silver,"6,750,000"
Imported,White,Foreign Used,,1800,,Toyota,163458,Corolla,,,,Imported,,2009,/jEY4wdZfQ0NKzh5R25KavF5RQ0Js5Vs?lid=dh_lC6ACv9u8bCaL,Abuja (FCT), Gwarinpa,Toyota Corolla 2009 White,"11,232,000"
Brand new,Black,Local Used,,3700,,Acura,12459,MDX,,,,Registered,,2009,/jEY4wdZgwkQD27cJ18ydFcJ6aiRLdo6?lid=dh_lC6ACv9u8bCaL,Lagos State, Ojodu,Acura MDX 2009 Black,"7,280,000"
Registered,White,Local Used,,2000,,Toyota,310820,Ipsum,,Lagos,,Registered,,1998,/jEY4wdZZtn67OP814b80EEz3NTJwAUq?lid=dh_lC6ACv9u8bCaL,Oyo State, Ibadan,Toyota Ipsum 1998 White,"4,200,000"
Registered,Black,Local Used,,2400,,Toyota,256328,Corolla,,Lagos,,Registered,,2011,/jEY4wdZLsHVum1sl5efz1WZ3GyYpUcw?lid=dh_lC6ACv9u8bCaL,Lagos State, Ogudu,Toyota Corolla 2011 Black,"6,888,000"
Imported,Black,Local Used,,2400,,Honda,112898,Accord,,,,Registered,,2015,/jEY4wdZBMr1p6ryBZVimvK0pYOvq44M?lid=dh_lC6ACv9u8bCaL,Lagos State, Lekki,Honda Accord 2015 Black,"9,240,000"
Imported,Silver,Foreign Used,,1800,,Toyota,237290,Corolla,,,,Imported,,2010,/jEY4wdZHSBQjLcwL46iDBYfOU6H4e1u?lid=dh_lC6ACv9u8bCaL,Lagos State, Ogba,Toyota Corolla 2010 Silver,"11,440,000"
Imported,Gold,Local Used,Front,1800,224,Toyota,279590,Corolla,4,Lagos,5,Registered,1.8 VVTL-i TS Compressor,2007,/jEY4wdZLql7JwuqaqnWiKhDxfqrMqFp?lid=dh_lC6ACv9u8bCaL,Lagos State, Magodo,Toyota Corolla 1.8 VVTL-i TS Compressor 2007 Gold,"5,460,000"
Imported,Black,Local Used,,3500,,Mercedes-Benz,83318,GLE-Class,,,,Registered,GLE 350,2016,/jEY4wdZF2HGH8rKlNSaVdgg7bpRzJIo?lid=dh_lC6ACv9u8bCaL,Lagos State, Lekki,Mercedes-Benz GLE-Class GLE 350 2016 Black,"21,000,000"
Registered,Silver,Local Used,,1800,,Toyota,248810,Avensis,,Abuja,,Registered,,2004,/jEY4wdZrsTJ7FbOVHZXdjqSOdhwfMEQ?lid=dh_lC6ACv9u8bCaL,Oyo State, Ibadan,Toyota Avensis 2004 Silver,"4,935,000"
Imported,Black,Foreign Used,,3600,,Porsche,120597,Macan,,,,Imported,,2015,/jEY4wdZQQt4EAdZd3tYHJZ4UN5KheVo?lid=dh_lC6ACv9u8bCaL,Lagos State, Lekki,Porsche Macan 2015 Black,"43,902,569"
Registered,Black,Local Used,,3500,,Lexus,109855,ES,,Abuja,,Registered,,2009,/jEY4wdZhfNrZjQD7U1xa4IV7YQrSe10?lid=dh_lC6ACv9u8bCaL,Abia State, Umuahia,Lexus ES 2009 Black,"7,875,000"
Imported,Black,Foreign Used,,3500,,Hyundai,181482,Sonata,,,,Imported,,2016,/jEY4wdZTkRlkUQ1KQLb1cTB0hmGhNFi?lid=dh_lC6ACv9u8bCaL,Rivers State, Port-Harcourt,Hyundai Sonata 2016 Black,"13,650,000"
Imported,Gold,Foreign Used,,3500,,Lexus,172534,RX 350,,,,Imported,,2010,/jEY4wdZTSVwejARRpTtUNO3hkoOkSZ7?lid=dh_lC6ACv9u8bCaL,Abuja (FCT), Lugbe District,Lexus RX 350 2010 Gold,"22,880,000"
Imported,Gold,Foreign Used,,3500,,Lexus,172534,RX 350,,,,Imported,,2010,/jEY4wdZTSVwejARRpTtUNO3hkoOkSZ7?lid=ZUy1NiU8cAMUkR_y,Abuja (FCT), Lugbe District,Lexus RX 350 2010 Gold,"22,880,000"
Registered,Silver,Local Used,,3800,,Hyundai,185231,Veracruz,,,,Registered,,2010,/jEY4wdZr8ar9uBMwwsVyXKpgJBHonW1?lid=ZUy1NiU8cAMUkR_y,Lagos State, Ikorodu,Hyundai Veracruz 2010 Silver,"9,450,000"
Registered,Black,Local Used,,3500,,Ford,90277,Explorer,,,,Registered,,2011,/jEY4wdZgGvvya4TW59qJv4vYDxDCp5m?lid=ZUy1NiU8cAMUkR_y,Lagos State, Ikeja,Ford Explorer 2011 Black,"8,925,000"
Imported,Silver,Local Used,,3800,,Kia,158124,Sedona,,Abuja,,Registered,,2012,/jEY4wdZpZpvHKpVJ6atPrWOUigEOSwk?lid=ZUy1NiU8cAMUkR_y,Lagos State, Ikeja,Kia Sedona 2012 Silver,"8,925,000"
Registered,Gray,Local Used,,3300,,Hyundai,162047,Santa Fe,,Lagos,,Registered,,2007,/jEY4wdZBMT2aGAEXcizaazeqMLQHsn3?lid=ZUy1NiU8cAMUkR_y,Oyo State, Ibadan,Hyundai Santa Fe 2007 Gray,"6,240,000"
Imported,Blue,Foreign Used,,2000,,Mercedes-Benz,43758,C300,,,,Imported,,2020,/jEY4wdZx9YSQSk5iIJATuSGdvsJZxdG?lid=ZUy1NiU8cAMUkR_y,Lagos State, Surulere,Mercedes-Benz C300 2020 Blue,"46,800,000"
Imported,Black,Local Used,,3000,,Lexus,170954,RX,,,,Registered,,2003,/jEY4wdZZnlwBB3CtCC2Bpul6f8ACjDV?lid=ZUy1NiU8cAMUkR_y,Lagos State, Isolo,Lexus RX 2003 Black,"3,675,000"
Imported,Red,Local Used,,1800,,Toyota,204054,Matrix,,Lagos,,Registered,,2003,/jEY4wdZU9yfQMnRffOnvxdNke7eJg1C?lid=ZUy1NiU8cAMUkR_y,Oyo State, Ibadan,Toyota Matrix 2003 Red,"4,700,000"
Imported,Black,Local Used,,3600,,Porsche,42443,Cayenne,,Lagos,,Registered,,2013,/jEY4wdZfPXeNaOUsmZFGiVZOj3pnHzD?lid=ZUy1NiU8cAMUkR_y,Lagos State, Surulere,Porsche Cayenne 2013 Black,"30,450,000"
Imported,Burgandy,Foreign Used,,3500,,Lexus,189760,RX 350,,,,Imported,,2008,/jEY4wdZrX7z5BEFUePY5TLSfjmWDpUk?lid=ZUy1NiU8cAMUkR_y,Edo State, Benin City,Lexus RX 350 2008 Burgandy,"15,080,000"
Registered,Blue,Local Used,,3000,,Toyota,169031,Highlander,,Lagos,,Registered,,2003,/jEY4wdZqcXdIvBXaKyCsiNlaF5jLIR1?lid=ZUy1NiU8cAMUkR_y,Oyo State, Ibadan,Toyota Highlander 2003 Blue,"4,200,000"
Imported,Black,Foreign Used,,3500,,Lexus,138948,RX 350,,,,Imported,,2015,/jEY4wdZAEl9DOls1xYGtOke0onNQPgw?lid=ZUy1NiU8cAMUkR_y,Lagos State, Ilupeju,Lexus RX 350 2015 Black,"31,200,000"
Imported,Black,Local Used,,6300,,Mercedes-Benz,,G-Class,,,,Registered,,2002,/jEY4wdZFkYFquvh4TJMZvgYYCGYjpDM?lid=ZUy1NiU8cAMUkR_y,Lagos State, Lekki,Mercedes-Benz G-Class 2002 Black,"105,000,000"
Registered,Black,Local Used,Front,1800,132,Toyota,266778,Corolla,4,Lagos,5,Registered,S 4dr Sedan (1.8L 4cyl 4A),2011,/jEY4wdZEEZrn0fsmFKiRUtAOxFjSm5w?lid=ZUy1NiU8cAMUkR_y,Delta State, Warri,Toyota Corolla S 4dr Sedan (1.8L 4cyl 4A) 2011 Black,"7,875,000"
Registered,White,Local Used,,2500,,Toyota,87829,Hilux,,Rivers State,,Registered,,2007,/jEY4wdZLifRkeYDP61YMSGItkdOhXAP?lid=ZUy1NiU8cAMUkR_y,Rivers State, Port-Harcourt,Toyota Hilux 2007 White,"14,175,000"
Imported,Black,Local Used,,2000,,Volkswagen,204908,Tiguan,,Kwara,,Registered,,2011,/jEY4wdZfb0gJuF8kDWYx8SzGeSZTncc?lid=sk6yieacI59FYZ3J,Lagos State, Ojodu,Volkswagen Tiguan 2011 Black,"5,565,000"
Imported,Gray,Local Used,All Wheel,3500,268,Toyota,388250,Venza,6,Lagos,5,Registered,XLE 4dr Wagon AWD (3.5L 6cyl 6A),2014,/jEY4wdZv8H6BO8bGz28C0lnNP0k0qij?lid=sk6yieacI59FYZ3J,Lagos State, Magodo,Toyota Venza XLE 4dr Wagon AWD (3.5L 6cyl 6A) 2014 Gray,"14,175,000"
Imported,Black,Foreign Used,,3000,,Rover,255424,Land,,,,Imported,,2014,/jEY4wdZtxaT4ZjmQiaXiq7JRYIeLXbM?lid=sk6yieacI59FYZ3J,Rivers State, Port-Harcourt,Rover Land 2014 Black,"35,700,000"
Imported,Silver,Foreign Used,,3500,,Lexus,311044,ES,,,,Imported,,2014,/jEY4wdZANCiXOr0WZR9uMyYYXHuG5CW?lid=sk6yieacI59FYZ3J,Rivers State, Port-Harcourt,Lexus ES 2014 Silver,"23,920,000"
Registered,Silver,Local Used,,3000,,BMW,316858,X3,,Lagos,,Registered,,2007,/jEY4wdZveB7YkfwVKX9Za14f0YK2KSS?lid=sk6yieacI59FYZ3J,Oyo State, Ibadan,BMW X3 2007 Silver,"5,250,000"
Imported,Black,Local Used,,3500,,Toyota,142771,Venza,,Abia,,Registered,,2009,/jEY4wdZX3sc7LEH6XeIpBcpgBEsVFNJ?lid=sk6yieacI59FYZ3J,Abuja (FCT), Gwarinpa,Toyota Venza 2009 Black,"12,550,000"
Registered,Gray,Local Used,,3500,,BMW,6443,4 Series,,Lagos,,Registered,,2016,/jlCs49PHvMm10LNNpF0mQcQsVF5B8o?lid=sk6yieacI59FYZ3J,Lagos State, Yaba,BMW 4 Series 2016 Gray,"26,250,000"
Registered,Blue,Local Used,,2500,,Toyota,114789,Camry,,,,Registered,,2016,/jEY4wdZ9q9EeM7jHXtxE2QyYxU7FZOk?lid=sk6yieacI59FYZ3J,Lagos State, Ikeja,Toyota Camry 2016 Blue,"12,600,000"
Imported,Black,Foreign Used,,2500,,Toyota,24965,Camry,,,,Imported,,2024,/jEY4wdZJJc2mmIMFprqiZfOjF4VsdZX?lid=sk6yieacI59FYZ3J,Lagos State, Ikoyi,Toyota Camry 2024 Black,"47,250,000"
Imported,Black,Local Used,Front,2500,178,Toyota,135240,Camry,4,,5,Registered,LE 4dr Sedan (2.5L 4cyl 6A),2016,/jEY4wdZKXTfWK5JkZDIV76A8rJnPuW8?lid=sk6yieacI59FYZ3J,Lagos State, Lekki,Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2016 Black,"10,710,000"
Imported,Silver,Foreign Used,All Wheel,3300,233,Toyota,472582,Sienna,6,,7,Imported,LE AWD,2005,/jEY4wdZPFuKvoxqH2FKnVqO8XsKYcDC?lid=sk6yieacI59FYZ3J,Lagos State, Ikorodu,Toyota Sienna LE AWD 2005 Silver,"9,975,000"
Imported,Silver,Local Used,All Wheel,3500,265,Acura,7893,MDX,6,Fct,7,Registered,Touring 4dr SUV AWD (3.5L 6cyl 5A),2005,/jEY4wdZPMpnhHpaR5fqi8Bmz2N8QiVq?lid=sk6yieacI59FYZ3J,Abuja (FCT), Lugbe District,Acura MDX Touring 4dr SUV AWD (3.5L 6cyl 5A) 2005 Silver,"4,160,000"
Registered,Black,Local Used,,2400,,Toyota,169515,Highlander,,Abuja,,Registered,,2004,/jEY4wdZXcchc5OxVpFB5r8QCgGjmZS4?lid=sk6yieacI59FYZ3J,Kaduna State, Kachia,Toyota Highlander 2004 Black,"4,935,000"
Registered,Gray,Local Used,,1800,,Toyota,272565,Corolla,,,,Registered,,2006,/jEY4wdZMjWHz72SepVrNBLZ6VVbHamk?lid=sk6yieacI59FYZ3J,Delta State, Oshimili South,Toyota Corolla 2006 Gray,"5,565,000"
Registered,Gray,Local Used,,3500,,Mercedes-Benz,198775,M Class,,Abuja,,Registered,,2012,/jEY4wdZk5kNKeEgJw1BA6eoRgrfuxe3?lid=sk6yieacI59FYZ3J,Edo State, Benin City,Mercedes-Benz M Class 2012 Gray,"18,900,000"
Registered,Gray,Local Used,,3500,,Mercedes-Benz,198775,M Class,,Abuja,,Registered,,2012,/jEY4wdZk5kNKeEgJw1BA6eoRgrfuxe3?lid=250yeLnuwA1WVoCI,Edo State, Benin City,Mercedes-Benz M Class 2012 Gray,"18,900,000"
Imported,Gray,Foreign Used,,3500,,Lexus,245514,RX 350,,,,Imported,,2014,/jEY4wdZh90QFyqhULW7rdab5T9y1fSb?lid=250yeLnuwA1WVoCI,Abuja (FCT), Lugbe District,Lexus RX 350 2014 Gray,"29,120,000"
Registered,Black,Local Used,,3500,,Toyota,117579,Venza,,,,Registered,,2010,/jEY4wdZSJTkLZcGm2cLc5PkAdXbJODJ?lid=250yeLnuwA1WVoCI,Abuja (FCT), Wuse,Toyota Venza 2010 Black,"12,688,000"
Imported,Blue,Local Used,,2400,,Honda,204329,Accord,,,,Registered,,2014,/jEY4wdZChTpsCKJKxBsgRagEvKuDG3w?lid=250yeLnuwA1WVoCI,Abuja (FCT), Jabi,Honda Accord 2014 Blue,"11,550,000"
Imported,Gold,Local Used,,3300,,Toyota,352636,Sienna,,Lagos,,Registered,,2006,/jEY4wdZPtfeHfMuwLiMQYhfF3lez0f6?lid=250yeLnuwA1WVoCI,Oyo State, Ibadan,Toyota Sienna 2006 Gold,"6,300,000"
Registered,Green,Local Used,,2500,,Toyota,160130,Camry,,Lagos,,Registered,,2012,/jEY4wdZJHtMFtrfFITizkMPRzaE9bL0?lid=250yeLnuwA1WVoCI,Lagos State, Alimosho,Toyota Camry 2012 Green,"11,440,000"
Registered,Beige,Local Used,,2400,,Toyota,150251,Camry,,Abuja,,Registered,,2009,/jEY4wdZuwcEYij28idD3Jyhj4ZQVNzT?lid=250yeLnuwA1WVoCI,Kaduna State, Kachia,Toyota Camry 2009 Beige,"6,720,000"
Imported,Black,Foreign Used,,3500,,Toyota,98654,Highlander,,,,Imported,,2010,/jEY4wdZS4bnr0enn9Ep77t3SwiE2hpy?lid=250yeLnuwA1WVoCI,Lagos State, Mushin,Toyota Highlander 2010 Black,"13,125,000"
Brand new,Black,Local Used,,1500,,Honda,45167,CR-V,,Lagos,,Registered,,2018,/jEY4wdZtdpIStbUVKe6FMIjR5B6HHuu?lid=250yeLnuwA1WVoCI,Lagos State, Ikeja,Honda CR-V 2018 Black,"26,000,000"
Registered,Black,Local Used,,3500,,Kia,228327,Sorento,,Abuja,,Registered,,2003,/jEY4wdZqInjLMIAmHzGDnehVF9JkCsW?lid=250yeLnuwA1WVoCI,Abuja (FCT), Gwarinpa,Kia Sorento 2003 Black,"4,200,000"
Imported,Black,Local Used,,2500,,Lexus,225074,IS,,Lagos,,Registered,,2008,/jEY4wdZtrPEO4scZzMoCSouICVCwewj?lid=250yeLnuwA1WVoCI,Lagos State, Lekki,Lexus IS 2008 Black,"7,140,000"
Imported,White,Local Used,,3000,,Lexus,287579,RX 300,,Lagos,,Registered,,2001,/jEY4wdZt1uqnuQePzfKMlAgnmqaKSKd?lid=250yeLnuwA1WVoCI,Lagos State, Ikeja,Lexus RX 300 2001 White,"5,250,000"
Imported,Black,Foreign Used,,3000,,Mercedes-Benz,61587,C300,,,,Imported,,2012,/jEY4wdZMWUAlRpCqx2jK3uSA5qiKzFH?lid=250yeLnuwA1WVoCI,Abuja (FCT), Gwarinpa,Mercedes-Benz C300 2012 Black,"15,600,000"
Imported,Black,Local Used,,1800,,Toyota,134525,Corolla,,,,Registered,,2011,/jEY4wdZVJc949LWnSMmfZ7Vjjjx6cM8?lid=250yeLnuwA1WVoCI,Lagos State, Lekki,Toyota Corolla 2011 Black,"6,027,000"
Imported,Silver,Foreign Used,,3300,,Lexus,298669,ES,,,,Imported,,2005,/jEY4wdZmZej2Evw4RfLACskOXm5LNsn?lid=250yeLnuwA1WVoCI,Lagos State, Ojodu,Lexus ES 2005 Silver,"8,400,000"
Imported,Silver,Foreign Used,,3300,,Lexus,298669,ES,,,,Imported,,2005,/jEY4wdZmZej2Evw4RfLACskOXm5LNsn?lid=8LBRGLwPI3wYOJfL,Lagos State, Ojodu,Lexus ES 2005 Silver,"8,400,000"
Imported,Black,Foreign Used,,1800,,Hyundai,90970,Elantra,,,,Imported,,2015,/jEY4wdZy6f22do1V6FwPiGpKN7hdQnY?lid=8LBRGLwPI3wYOJfL,Lagos State, Ogba,Hyundai Elantra 2015 Black,"12,316,500"
Imported,Black,Foreign Used,,5700,,Toyota,136243,Sequoia,,,,Imported,,2015,/jEY4wdZQfJF3uoPkL07Y8wljvhfQyVj?lid=8LBRGLwPI3wYOJfL,Lagos State, Amuwo-Odofin,Toyota Sequoia 2015 Black,"29,190,000"
Imported,Gray,Foreign Used,,3500,,Acura,194652,RDX,,,,Imported,,2014,/jEY4wdZQMtT2XYXjP6bf2fiWIGiDceI?lid=8LBRGLwPI3wYOJfL,Lagos State, Ilupeju,Acura RDX 2014 Gray,"14,700,000"
Registered,Gold,Local Used,,3300,,Toyota,188488,Sienna,,Rivers,,Registered,,2004,/jEY4wdZG8sDFnVV0NvSqOQoR96MS5J7?lid=8LBRGLwPI3wYOJfL,Delta State, Warri,Toyota Sienna 2004 Gold,"6,240,000"
Registered,White,Local Used,All Wheel,2500,180,Mitsubishi,33865,L200,4,Rivers State,2,Registered,Single Cab 2.5 TD 4WD,2010,/jEY4wdZn02GTcxElWph4IRicj8x6GvD?lid=8LBRGLwPI3wYOJfL,Rivers State, Port-Harcourt,Mitsubishi L200 Single Cab 2.5 TD 4WD 2010 White,"12,600,000"
Imported,White,Foreign Used,,3500,,Toyota,226815,Highlander,,,,Imported,,2017,/jEY4wdZVTadHOzGK3emUJ54OucqLa1Q?lid=8LBRGLwPI3wYOJfL,Oyo State, Ibadan,Toyota Highlander 2017 White,"36,400,000"
Brand new,Gray,Local Used,,1800,,Toyota,231550,Corolla,,Lagos,,Registered,,2014,/jEY4wdZSZVvG4XazTEir1WvuLjQVZBl?lid=8LBRGLwPI3wYOJfL,Ogun State, Abeokuta North,Toyota Corolla 2014 Gray,"13,650,000"
Imported,Brown,Local Used,,3000,,Mercedes-Benz,294671,GLS-Class,,Abuja,,Registered,,2020,/jEY4wdZnXcADLWEGhdqip8gZ1rdMrEF?lid=8LBRGLwPI3wYOJfL,Abuja (FCT), Garki 2,Mercedes-Benz GLS-Class 2020 Brown,"105,000,000"
Imported,White,Foreign Used,,2400,,Hyundai,152777,Sonata,,,,Imported,,2019,/jEY4wdZtmZ14xq2pOAFN7Uj0xpA2uyW?lid=8LBRGLwPI3wYOJfL,Lagos State, Ikeja,Hyundai Sonata 2019 White,"19,950,000"
Imported,Silver,Foreign Used,,3300,,Hyundai,89859,Santa Fe,,,,Imported,,2016,/jEY4wdZVUrNminqqjfuvHFJgePe1HVA?lid=8LBRGLwPI3wYOJfL,Lagos State, Alimosho,Hyundai Santa Fe 2016 Silver,"19,425,000"
Imported,Gray,Foreign Used,,2000,,Hyundai,174911,Sonata,,,,Imported,,2013,/jEY4we00NqFU7ZbKmCrogcCskfUGUcv?lid=8LBRGLwPI3wYOJfL,Lagos State, Ojodu,Hyundai Sonata 2013 Gray,"10,710,000"
Imported,Silver,Foreign Used,,1600,,Nissan,113903,Versa,,,,Imported,,2013,/jEY4wdZTlX23snIJBS7QgdxaQfrIMQ2?lid=8LBRGLwPI3wYOJfL,Lagos State, Isolo,Nissan Versa 2013 Silver,"10,206,000"
Imported,Black,Local Used,,2700,,Toyota,248155,Land Cruiser Prado,,,,Registered,,2014,/jEY4wdZxMwTBiH8S3CIiJasS83AjXM3?lid=8LBRGLwPI3wYOJfL,Lagos State, Ajah,Toyota Land Cruiser Prado 2014 Black,"36,750,000"
Imported,Gray,Foreign Used,,3000,,Mercedes-Benz,158249,C300,,,,Imported,,2012,/jEY4wdZHqquBePCMvaFHaHiSxZttzMS?lid=8LBRGLwPI3wYOJfL,Lagos State, Ikeja,Mercedes-Benz C300 2012 Gray,"15,080,000"
Registered,Blue,Local Used,,3500,,Lexus,333769,RX 350,,Asaba,,Registered,,2010,/jEY4wdZPeNtOgodgrYiM8qkrNgEWfeQ?lid=OQE9HXzLP2Ci2t05,Delta State, Oshimili South,Lexus RX 350 2010 Blue,"15,225,000"
Registered,Black,Local Used,,1800,,Toyota,161596,Corolla,,Abuja,,Registered,,2012,/jEY4wdZEpvuKYxgCnmDuGrzHqAGF7HJ?lid=OQE9HXzLP2Ci2t05,Delta State, Oshimili South,Toyota Corolla 2012 Black,"8,840,000"
Imported,Blue,Local Used,,3500,,Lexus,333524,RX 350,,Lagos,,Registered,,2010,/jEY4wdZOjRrJD2Nhu2sxGeuJuawuTMh?lid=OQE9HXzLP2Ci2t05,Abia State, Aba North,Lexus RX 350 2010 Blue,"17,680,000"
Imported,Red,Foreign Used,,2400,,Honda,233112,CR-V,,,,Imported,,2014,/jEY4wdZHCvIBrb4DJTTch5axRg83Xdh?lid=OQE9HXzLP2Ci2t05,Rivers State, Port-Harcourt,Honda CR-V 2014 Red,"18,200,000"
Imported,White,Foreign Used,,3500,,Toyota,108625,Highlander,,,,Imported,,2019,/jEY4wdZZZEI55jSdENYaFU1YMZauvwm?lid=OQE9HXzLP2Ci2t05,Abia State, Umuahia,Toyota Highlander 2019 White,"38,325,000"
Registered,Red,Local Used,,3500,,Ford,217442,Edge,,Abuja,,Registered,,2010,/jEY4wdZPynOBxFLl6bPvZTePAnNPFqK?lid=OQE9HXzLP2Ci2t05,Abuja (FCT), Lugbe District,Ford Edge 2010 Red,"4,439,400"
Imported,Black,Local Used,Front Wheel,3300,160,Toyota,5492,Highlander,4,La,05-Jul,Registered,Base FWD,2004,/jEY4wdZcwFNUVDs67TtWy1f6uet0OqB?lid=OQE9HXzLP2Ci2t05,Akwa Ibom State, Uyo,Toyota Highlander Base FWD 2004 Black,"5,720,000"
Imported,Red,Local Used,,3500,,Lexus,175030,RX 350,,Lagos,,Registered,,2011,/jEY4wdZnTBm5Li6rBHG9t0PgKCWZrjD?lid=OQE9HXzLP2Ci2t05,Ogun State, Abeokuta North,Lexus RX 350 2011 Red,"15,750,000"
Imported,Silver,Foreign Used,,2400,,Hyundai,100924,Sonata,,,,Imported,,2016,/jEY4wdZeVAauMhwQylqpAZ35BgEYIWv?lid=OQE9HXzLP2Ci2t05,Lagos State, Yaba,Hyundai Sonata 2016 Silver,"13,965,000"
Imported,Gold,Foreign Used,,3500,,Mercedes-Benz,153525,GLK-Class,,,,Imported,,2010,/jEY4wdZu4qVzqYWKOF9Tcl9RKWf7IfU?lid=OQE9HXzLP2Ci2t05,Edo State, Benin City,Mercedes-Benz GLK-Class 2010 Gold,"16,800,000"
Imported,Black,Local Used,,2000,,Mercedes-Benz,85909,C300,,Abuja,,Registered,,2015,/jEY4wdZZujsGsRECsT2iF4rc2lBenDT?lid=OQE9HXzLP2Ci2t05,Enugu State, Enugu,Mercedes-Benz C300 2015 Black,"17,888,000"
Imported,Black,Local Used,4x4,4600,301,Lexus,60627,GX,8,Lagos,7,Registered,460 Luxury,2015,/jEY4wdZUlJWdaZDvFAXoL0uNDTJiDde?lid=OQE9HXzLP2Ci2t05,Lagos State, Lekki,Lexus GX 460 Luxury 2015 Black,"36,750,000"
Registered,Black,Local Used,,3500,,Mercedes-Benz,261768,M Class,,,,Registered,,2009,/jEY4wdZxkdNTC5D7FTew66BLBRpT7Am?lid=OQE9HXzLP2Ci2t05,Abuja (FCT), Garki 2,Mercedes-Benz M Class 2009 Black,"8,528,000"
Imported,Black,Local Used,,2500,,Nissan,253434,X-Trail,,Lagos,,Registered,,2005,/jEY4wdZS8EzQhdDaLtQN1J99xMYzX90?lid=OQE9HXzLP2Ci2t05,Lagos State, Amuwo-Odofin,Nissan X-Trail 2005 Black,"4,200,000"
Registered,Black,Local Used,,1800,,Toyota,131531,Corolla,,,,Registered,,2009,/jEY4wdZv4stgs7evRFXEeIkV4ynQP8L?lid=OQE9HXzLP2Ci2t05,Lagos State, Alimosho,Toyota Corolla 2009 Black,"6,825,000"
